Date,Open,High,Low,P/E Ratio,Google Trends,Price Change,Closing Price
2015-07-29,38883.734444404676,39233.68312554965,38741.78343008108,23.193024,100,0.5567906602883014,38942.734375
2015-07-30,39211.0060393031,39243.48641779813,38697.41944035203,23.193024,46,-0.2585928456648083,38842.03125
2015-07-31,38987.2393888462,40593.995909277786,38681.650407542984,23.193024,30,3.6458270478581114,40258.14453125
2015-08-03,40810.872262520184,42141.713266464125,40327.89449663269,23.193024,24,4.200508728581222,41949.19140625
2015-08-04,42091.448874082904,45424.29159140383,41895.280384751946,23.193024,0,7.390981631145491,45049.6484375
2015-08-05,45049.63934057152,45738.793459724046,44312.382672073,23.193024,47,-0.689846532168068,44738.875
2015-08-06,44741.19000301576,44800.340174886485,43958.43606192651,23.193024,79,-1.3593637803811562,44130.7109375
2015-08-07,44166.44602993322,44854.55967313077,43989.04558221887,23.193024,96,0.35216759303992345,44286.125
2015-08-10,44265.031170401955,44683.618760857935,43623.25180486596,23.193024,28,-0.9163511285984041,43880.30859375
2015-08-11,43790.842466766626,43968.29297653741,40665.74182247013,23.193024,0,-4.425452796443166,41938.40625
2015-08-12,41405.116131555515,41691.008600082925,40716.01669879463,23.193024,78,-2.4023977872311253,40930.87890625
2015-08-13,41099.517784372256,42036.45511908732,41002.855759240185,23.193024,70,0.8076115364078447,41261.44140625
2015-08-14,41491.87179450944,42312.08746959573,41434.693297928905,23.193024,76,1.7044609501777397,41964.7265625
2015-08-17,41996.62012112484,42577.32767727996,41602.28565989363,23.193024,0,0.07000857304823527,41994.10546875
2015-08-18,42334.663015215294,43769.15478318495,42066.71582184035,23.193024,0,3.61677434081848,43512.9375
2015-08-19,43639.02177992056,43869.707432486895,43032.83268882352,23.193024,75,-0.19099922867767777,43429.828125
2015-08-20,43449.74540362373,44038.832604945346,42597.98291261472,23.193024,34,-1.3791014887881277,42830.88671875
2015-08-21,42588.11665866305,42985.45864225658,41207.946211391565,23.193024,37,-0.13270760449868838,42774.046875
2015-08-24,42095.20196987483,42095.20196987483,37461.96864189136,23.193024,16,-10.601054450731112,38239.546875
2015-08-25,39315.14904460795,39679.90845149122,36159.537318946524,23.193024,0,2.8200210760211837,39317.91015625
2015-08-26,39334.861349194216,39975.3583087985,38272.723049522516,23.193024,100,0.46873517505788403,39502.20703125
2015-08-27,39926.36269970332,40912.198815745374,39926.36269970332,23.193024,95,2.0916058388747065,40328.4375
2015-08-28,40961.49730623495,41158.564437623085,40122.55063457175,23.193024,100,0.24385707975916499,40426.78125
2015-08-31,40426.78761336871,40861.93427412838,39323.043603619706,23.193024,43,-1.5006875856583315,39820.1015625
2015-09-01,39629.63071037259,39667.83186438207,38467.526189313954,23.193024,0,-1.7520889359233411,39122.41796875
2015-09-02,39293.46392724153,39970.044161856524,39094.37505318644,23.193024,70,1.4586425881340612,39693.07421875
2015-09-03,39753.8546332125,40192.5017891046,39581.33325538703,23.193024,38,-0.011415719465386111,39688.54296875
2015-09-04,39482.740607219406,39483.72644343931,37905.40265537044,23.193024,82,-3.9262452453267227,38130.2734375
2015-09-07,38132.145402392,38376.239993475494,37233.06276001916,23.193024,32,-1.7397491125715192,37466.90234375
2015-09-08,37461.77509569312,38987.35659465588,37155.47656266101,23.193024,0,3.4821566993451616,38771.55859375
2015-09-09,38999.679958793626,39609.273311663186,38664.49565176658,23.193024,100,0.5035706445174303,38966.80078125
2015-09-10,38182.42050155119,40222.115526665686,37955.72824562401,23.193024,86,2.7509295021874087,40038.75
2015-09-11,40222.11906082786,40958.19215763439,39434.4859578838,23.193024,100,-0.19155271455777215,39962.0546875
2015-09-14,39966.24096255039,40419.28274210402,39583.68646875434,23.193024,35,0.6892573677803338,40237.49609375
2015-09-15,40074.239698527585,40615.46374759257,39285.47065058684,23.193024,0,-1.4102498262513423,39670.046875
2015-09-16,39690.75301272982,39946.08459988109,38940.53163117727,23.193024,60,-0.9109025504523052,39308.69140625
2015-09-18,39617.79948590943,39926.36621741688,39450.80037350738,23.193024,46,0.7349479902911898,39597.58984375
2015-09-21,39728.219120642825,40991.07548664554,39246.14514486193,23.193024,94,3.117663312644403,40832.109375
2015-09-22,40833.33502995911,41206.96694633657,40287.181780161976,23.193024,61,0.05744751277621204,40855.56640625
2015-09-23,40181.68673879178,40644.43658474736,39946.17207508531,23.193024,0,-1.2236513441740506,40355.63671875
2015-09-24,40419.18780817857,40955.58287449649,40293.890326142624,23.193024,80,0.7982446690038943,40677.7734375
2015-09-28,41010.778679499665,41395.25472961998,40428.59244419079,23.193024,45,-0.046679745830176374,40658.78515625
2015-09-29,40123.53989591426,41472.1640378703,40123.53989591426,23.193024,0,0.8028419442331085,40985.2109375
2015-09-30,41403.15629257155,41587.50769565529,41061.0710686675,23.193024,0,0.8704931104150182,41341.984375
2015-10-01,41405.11269238326,41626.92579609246,40813.75741752577,23.193024,67,-0.72995369794704,41040.20703125
2015-10-05,41133.92231569895,42945.003847056454,41028.53794836774,23.193024,0,2.9976415087605113,42270.4453125
2015-10-06,42489.5869816369,42883.871369016524,41854.265662079706,23.193024,0,-0.7652269602524074,41946.98046875
2015-10-07,41947.32837317611,42361.329496066006,41799.45295000393,23.193024,42,0.08966862651298928,41984.59375
2015-10-08,42045.91278606292,42223.36329723505,40991.118142755106,23.193024,63,-1.6246472850532225,41302.4921875
2015-10-09,41336.15251132716,41986.75419312097,40636.15890679611,23.193024,100,-1.246198256423313,40787.78125
2015-10-12,40823.479769148675,40986.14275301513,40220.04785044829,23.193024,0,-0.6505088457097675,40522.453125
2015-10-13,40811.26491677031,40876.72291724845,40369.95291554694,23.193024,0,0.1845523912861581,40597.23828125
2015-10-14,40695.271991825,40892.48931183682,40468.579707109486,23.193024,59,0.18028666320340256,40670.4296875
2015-10-15,40715.040046416994,41550.0434100808,40715.040046416994,23.193024,74,1.4401971641328015,41256.1640625
2015-10-16,41356.80644125232,41730.438288913516,41129.27472003838,23.193024,81,0.11968855411568233,41305.54296875
2015-10-19,41464.26371613771,41464.26371613771,41075.94444153299,23.193024,60,0.03771436925980065,41321.12109375
2015-10-20,41474.12930697681,41984.74240117422,41306.537151469645,23.193024,0,0.6157848867960326,41575.5703125
2015-10-21,41431.3455728033,41778.75271258036,41431.3455728033,23.193024,67,0.12556201780906118,41627.7734375
2015-10-23,41702.841031003445,42290.399379414346,41702.841031003445,23.193024,0,0.9597145835816119,42027.28125
2015-10-26,42095.19486442037,42280.235501169336,41467.21736726262,23.193024,100,-0.9239998869781756,41638.94921875
2015-10-27,41474.13477833197,41641.777017949826,40912.208065148014,23.193024,0,-1.5597250583536617,40989.49609375
2015-10-28,40715.033731234085,41395.26068703436,40522.89580249371,23.193024,0,-0.7945347278852214,40663.8203125
